latitude	longitude	uid_gem	sector	capacity_unit	asset_name	country	start_year_first	capacity_first	start_year	capacity	number_units
25.308	104.891	L809929	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Xingyi Niutoupo (SPIC) solar farm	China	2019.0	50.0	[2019.0]	[50.0]	1
25.3086	55.6539	L200325	bioenergy	mw	Sharjah Waste-to-Energy Plant	United Arab Emirates	2022.0	30.0	[2022.0]	[30.0]	1
25.312	79.413	L800404	solar power/pv	mw (peak value, grid connected, or unknown)	Kankua (Universal) solar farm	India	2016.0	37.0	[2016.0]	[37.0]	1
25.313513	110.118822	L201699	bioenergy	mw	Guangxi Guilin power station	China	2018.0	35.0	[2018.0]	[35.0]	1
25.3171	51.5122	L804101	solar power/pv	mw (peak value, grid connected, or unknown)	Al Kharsaah Solar	Qatar	2022.0	450.0	[2022.0]	[450.0]	1
25.317591	114.919885	L101078	coal plant/unknown	mw	Xinfeng power station	China	2022.0	660.0	[2022.0, 2022.0]	[660.0, 660.0]	2
25.32	104.855	L809932	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Xingyi Qingshuihe (Zhonghong) solar farm	China	2016.0	70.0	[2016.0]	[70.0]	1
25.321	104.917	L809841	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Pu'an Moshe (Ruihui) solar farm	China	2017.0	50.0	[2017.0]	[50.0]	1
25.3231	105.9916	L809878	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Wangmo Yangshi Agriculture solar farm	China	2020.0	30.0	[2020.0]	[30.0]	1
25.3249	101.5897	L829183	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Mouding Youjia Agriculture solar farm	China	2016.0	20.0	[2016.0]	[20.0]	1
25.3253	118.9097	L904279	wind power/onshore	mw	Fujian Putian Pingyang wind farm	China	2018.0	30.0	[2018.0]	[30.0]	1
